                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5325,                 2.0539,                 1.7398,                0.57183,                0.76419,                 0.5114,                0.28297,                 1.5911,                 1.7049,                 1.9474,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.4613,                 1.0655,                 1.5398,                0.73337,                0.82969,                0.83566,                0.44499,                  1.573,                 3.9094,                  1.955,              0.0013138,              0.0013138,              0.0013138
                      3,                 1.5238,                 1.0214,                 1.5879,                0.31594,                0.63319,                0.41539,                0.20461,                 1.5245,                 7.8047,                  1.982,              0.0019717,              0.0019717,              0.0019717
                      4,                 1.4322,                 0.9283,                 1.5174,                 0.7649,                0.82402,                0.82712,                0.43521,                 1.5431,                 2.9695,                 1.9981,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.4409,                 0.8945,                 1.4987,                0.52836,                0.53322,                0.55908,                0.28923,                 1.6914,                 2.4701,                 2.0966,              0.0019736,              0.0019736,              0.0019736
                      6,                 1.4094,                0.87611,                 1.4764,                0.95313,                0.88806,                0.93583,                0.55168,                 1.4813,                 1.6572,                 1.8838,               0.001967,               0.001967,               0.001967
                      7,                 1.4279,                 0.8623,                 1.4957,                0.95063,                0.92487,                0.96941,                 0.5668,                 1.3747,                0.82202,                  1.713,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.3774,                0.86758,                 1.4711,                0.97588,                0.88336,                0.94051,                0.57267,                 1.3636,                 1.0445,                 1.6884,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.3284,                0.79899,                 1.4128,                0.97355,                0.91703,                0.96172,                0.59328,                 1.3158,                0.72222,                 1.6227,              0.0019472,              0.0019472,              0.0019472
                     10,                 1.3129,                0.75937,                 1.4101,                0.93761,                0.91882,                0.95328,                0.58557,                 1.3378,                0.73686,                 1.6289,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.3153,                0.76447,                 1.4402,                 0.9537,                0.93886,                0.95959,                0.60688,                 1.2951,                0.61319,                 1.6139,               0.001934,               0.001934,               0.001934
                     12,                 1.3064,                 0.7604,                 1.4161,                0.98161,                0.93239,                0.96718,                0.60298,                 1.3317,                0.64267,                 1.6603,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.3043,                0.73304,                 1.4004,                 0.9061,                0.82533,                0.88881,                0.50038,                 1.4518,                 0.8354,                 1.7575,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.3286,                0.73222,                 1.4165,                 0.9537,                 0.9476,                0.96678,                0.60061,                 1.2886,                0.81057,                 1.6022,              0.0019142,              0.0019142,              0.0019142
                     15,                  1.285,                0.70159,                 1.4001,                0.96448,                 0.9485,                 0.9741,                0.61708,                 1.2585,                0.54393,                 1.5797,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.2829,                0.70489,                 1.3762,                0.96441,                0.92576,                 0.9629,                0.58566,                 1.3914,                 0.5992,                  1.718,               0.001901,               0.001901,               0.001901
                     17,                 1.2783,                0.71098,                 1.3644,                 0.9744,                0.93013,                0.96133,                0.60555,                 1.2825,                0.59142,                 1.5708,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.2756,                0.69123,                 1.3841,                0.96291,                0.94323,                0.97138,                0.58823,                  1.342,                0.59235,                 1.6289,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.2718,                0.69722,                 1.3901,                0.99079,                0.93955,                0.97649,                0.62121,                 1.2855,                0.59474,                 1.5758,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.2251,                0.67313,                 1.3407,                0.96908,                0.92576,                0.96291,                0.61266,                 1.2877,                0.62223,                 1.5847,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.2541,                0.68316,                 1.3686,                0.98482,                0.89956,                0.96848,                0.59687,                 1.3706,                0.61636,                 1.6782,               0.001868,               0.001868,               0.001868
                     22,                 1.2532,                0.69071,                  1.383,                0.96006,                0.94462,                0.97638,                0.63689,                 1.2476,                0.56929,                 1.5479,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.2033,                0.65229,                 1.3447,                0.97764,                0.95477,                0.97315,                0.60403,                 1.3297,                0.56831,                  1.635,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.2436,                0.68309,                 1.3574,                0.97674,                 0.9476,                0.97237,                0.63775,                 1.2308,                0.56523,                  1.554,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.2159,                0.66259,                 1.3465,                0.96475,                0.95604,                 0.9822,                0.61434,                 1.3054,                0.57138,                 1.6017,              0.0018416,              0.0018416,              0.0018416
                     26,                  1.231,                0.66079,                 1.3487,                0.98534,                0.92576,                0.96363,                0.59702,                 1.3294,                0.57667,                 1.6381,               0.001835,               0.001835,               0.001835
