                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81402,                  1.978,                  1.221,                 0.3567,                0.61714,                0.34536,                0.13879,                 1.5541,                 7.4478,                 2.5504,             0.00064815,             0.00064815,             0.00064815
                      2,                0.70981,                0.97494,                 1.1306,                0.17708,                0.29143,                0.12762,                0.05582,                 1.8186,                 20.231,                 3.6088,              0.0013105,              0.0013105,              0.0013105
                      3,                0.75096,                0.92041,                 1.1614,                0.12857,                0.15429,                0.05954,                0.02745,                 2.3819,                 4.6279,                 3.6211,              0.0019684,              0.0019684,              0.0019684
                      4,                0.76704,                0.87515,                 1.1813,                0.15462,                0.26286,                0.08289,                0.04071,                 2.1037,                 5.4672,                 2.9902,              0.0019802,              0.0019802,              0.0019802
                      5,                 0.7425,                0.83982,                 1.1613,                0.44373,                0.26894,                0.24533,                0.15449,                 2.0547,                 4.4407,                 3.5563,              0.0019736,              0.0019736,              0.0019736
                      6,                0.67405,                0.74741,                 1.1274,                0.79238,                0.63429,                 0.7473,                0.49502,                 1.0998,                  1.442,                 1.7412,               0.001967,               0.001967,               0.001967
                      7,                0.66295,                 0.7228,                 1.0993,                0.63003,                0.57714,                0.64112,                0.43197,                   1.14,                 1.6664,                 1.7343,              0.0019604,              0.0019604,              0.0019604
                      8,                0.63556,                0.68927,                 1.1026,                0.63492,                0.60622,                0.60341,                0.38165,                 1.3204,                 2.2211,                 1.7155,              0.0019538,              0.0019538,              0.0019538
                      9,                0.58786,                0.65226,                 1.0767,                0.90658,                0.72088,                0.82601,                0.57157,                 1.0566,                 1.2912,                 1.5288,              0.0019472,              0.0019472,              0.0019472
                     10,                0.63246,                0.68319,                 1.1053,                0.91312,                0.72072,                0.81547,                0.58642,                0.98595,                0.98028,                 1.5341,              0.0019406,              0.0019406,              0.0019406
                     11,                0.60629,                0.65184,                  1.083,                0.88848,                0.68288,                0.81623,                0.63303,                0.88483,                 1.0227,                 1.3879,               0.001934,               0.001934,               0.001934
                     12,                0.60885,                0.65282,                 1.0809,                0.92117,                0.66776,                0.81477,                0.60366,                0.92989,                 0.9649,                 1.4146,              0.0019274,              0.0019274,              0.0019274
                     13,                0.58346,                0.64319,                 1.0667,                0.74133,                0.61143,                 0.7021,                0.55901,                0.87475,                 1.2184,                 1.3679,              0.0019208,              0.0019208,              0.0019208
                     14,                0.57371,                0.62604,                 1.0549,                0.89982,                0.82122,                0.88094,                0.70062,                0.83527,                0.74546,                 1.3216,              0.0019142,              0.0019142,              0.0019142
                     15,                0.58074,                0.60752,                 1.0776,                 0.8216,                0.73689,                0.82703,                0.61339,                0.90479,                 1.0591,                 1.4231,              0.0019076,              0.0019076,              0.0019076
                     16,                0.52908,                0.53863,                 1.0348,                0.85996,                0.77197,                 0.8597,                0.67078,                0.80398,                0.79994,                  1.335,               0.001901,               0.001901,               0.001901
                     17,                0.53011,                0.56008,                 1.0456,                 0.8803,                0.83429,                0.90087,                0.70823,                0.75989,                0.70295,                 1.2419,              0.0018944,              0.0018944,              0.0018944
                     18,                0.53973,                0.56468,                 1.0402,                0.84296,                0.81143,                0.84383,                 0.6356,                0.83348,                0.86727,                 1.3249,              0.0018878,              0.0018878,              0.0018878
                     19,                0.55757,                0.56985,                 1.0493,                0.80591,                0.79429,                0.85736,                0.67063,                0.83797,                0.83949,                 1.3093,              0.0018812,              0.0018812,              0.0018812
                     20,                0.53125,                0.52616,                 1.0122,                0.88714,                0.80855,                0.90739,                0.70333,                0.74462,                0.78955,                 1.2455,              0.0018746,              0.0018746,              0.0018746
